"subject";"program";"S1";"S2";"S3";"S4";"S5";"S6";"S7"
1;"cont";85;85;86;85;87;86;87
2;"cont";80;79;79;78;78;79;78
3;"cont";78;77;77;77;76;76;77
4;"cont";84;84;85;84;83;84;85
5;"cont";80;81;80;80;79;79;80
6;"cont";76;78;77;78;78;77;74
7;"cont";79;79;80;79;80;79;81
8;"cont";76;76;76;75;75;74;74
9;"cont";77;78;78;80;80;81;80
10;"cont";79;79;79;79;77;78;79
11;"cont";81;81;80;80;80;81;82
12;"cont";77;76;77;78;77;77;77
13;"cont";82;83;83;83;84;83;83
14;"cont";84;84;83;82;81;79;78
15;"cont";79;81;81;82;82;82;80
16;"cont";79;79;78;77;77;78;78
17;"cont";83;82;83;85;84;83;82
18;"cont";78;78;79;79;78;77;77
19;"cont";80;80;79;79;80;80;80
20;"cont";78;79;80;81;80;79;80
21;"ri";79;79;79;80;80;78;80
22;"ri";83;83;85;85;86;87;87
23;"ri";81;83;82;82;83;83;82
24;"ri";81;81;81;82;82;83;81
25;"ri";80;81;82;82;82;84;86
26;"ri";76;76;76;76;76;76;75
27;"ri";81;84;83;83;85;85;85
28;"ri";77;78;79;79;81;82;81
29;"ri";84;85;87;89;88;85;86
30;"ri";74;75;78;78;79;78;78
31;"ri";76;77;77;77;77;76;76
32;"ri";84;84;86;85;86;86;86
33;"ri";79;80;79;80;80;82;82
34;"ri";78;78;77;76;75;75;76
35;"ri";78;80;77;77;75;75;75
36;"ri";84;85;85;85;85;83;82
37;"wi";84;85;84;83;83;83;84
38;"wi";74;75;75;76;75;76;76
39;"wi";83;84;82;81;83;83;82
40;"wi";86;87;87;87;87;87;86
41;"wi";82;83;84;85;84;85;86
42;"wi";79;80;79;79;80;79;80
43;"wi";79;79;79;81;81;83;83
44;"wi";87;89;91;90;91;92;92
45;"wi";81;81;81;82;82;83;83
46;"wi";82;82;82;84;86;85;87
47;"wi";79;79;80;81;81;81;81
48;"wi";79;80;81;82;83;82;82
49;"wi";83;84;84;84;84;83;83
50;"wi";81;81;82;84;83;82;85
51;"wi";78;78;79;79;78;79;79
52;"wi";83;82;82;84;84;83;84
53;"wi";80;79;79;81;80;80;80
54;"wi";80;82;82;82;81;81;81
55;"wi";85;86;87;86;86;86;86
56;"wi";77;78;80;81;82;82;82
57;"wi";80;81;80;81;81;82;83
